"Key","en (English)","it (Italian)","pl (Polish)","es (Spanish)","de (German)","pt (Portuguese)","fr (French)","ja (Japanese)","ru (Russian)","tr (Turkish)","ar (Arabic)","cs (Czech)","th (Thai)","id (Indonesian)","nl (Dutch)","vi (Vietnamese)","ko (Korean)","zh-Hans (ChineseSimplified)","zh-Hant (ChineseTraditional)","lt (Lithuanian)","uk (Ukrainian)","lv (Latvian)","hi (Hindi)","el (Greek)","pt-BR (Brazilian)"
"Easy","Easy","Facile","Łatwy","Fácil","Einfach","Fácil","Facile","簡単","Легкий","Kolay","سهل","Snadný","ง่าย","Mudah","Eenvoudig","Dễ","쉬운","简单","簡單","Lengvas","Легкий","Viegls","आसान","Εύκολος","Fácil"
"Hard","Difficult","Difficile","Trudny","Difícil","Schwierig","Difícil","Difficile","難しい","Трудный","Zor","صعب","Obtížný","ยาก","Sulit","Moeilijk","Khó","어려운","困难","困難","Sunkus","Складний","Grūts","कठिन","Δύσκολος","Difícil"
"Medium","Medium","Medio","Średni","Medio","Mittel","Médio","Moyen","中くらい","Средний","Orta","متوسط","Střední","ปานกลาง","Sedang","Gemiddeld","Trung bình","중간","中等","中等","Vidutinis","Середній","Vidējs","मध्यम","Μεσαίος","Médio"
"BlizzardIncoming","Blizzard Incoming","Bufera in Arrivo","Nadciąga Zamieć","Ventisca Inminente","Blizzard im Anmarsch","Nevasca Iminente","Blizzard Imminent","吹雪接近中","Метель Надвигается","Tipi Geliyor","عاصفة ثلجية وشيكة","Blíží se Sněhová Bouře","พายุหิมะกำลังจะมา","Badai Salju Mendekat","Sneeuwstorm op Komst","Bão Tuyết Sắp Đến","눈보라 접근 중","暴风雪即将来袭","暴風雪即將來襲","Artėja Pūga","Насувається Завірюха","Tuvošanās Sniegputenis","तूफानी बर्फबारी आ रही है","Καταιγίδα Χιονιού Πλησιάζει","Nevasca se Aproximando"
"AssassinateTraitor","Assassinate (Traitor)","Assassinare (Traditore)","Zamorduj (Zdrajca)","Asesinar (Traidor)","Verräter ermorden (Verräter)","Assassinar (Traidor)","Assassiner (Traître)","裏切り者を暗殺する (裏切り者)","Убить (Предатель)","Haini Suikast (Hain)","اغتيال (خائن)","Zavraždit (Zrádce)","ลอบสังหาร (ผู้ทรยศ)","Membunuh (Pengkhianat)","Vermoorden (Verrader)","Ám sát (Kẻ Phản Bội)","배신자 암살하기 (배신자)","暗杀 (叛徒)","暗殺 (叛徒)","Nužudyti (Išdavikas)","Вбивство (Зрадник)","Nogalināt (Nodevējs)","हत्या करना (गद्दार)","Δολοφονία (Προδότης)","Assassinar (Traidor)"
"Attack","Attack","Attacca","Atakuj","Ataca","Angriff","Ataca","Attaque","攻撃せよ","Атакуй","Saldır","هاجم","Útoč","โจมตี","Serang","Val aan","Tấn công","공격해","进攻","攻擊","Pulti","Нападай","Uzbrūk","हमला करो","Επιτέθηκε","Ataque"
"Dash","Dash","Scatto","Błyskawiczny ruch","Teletransporte","Blitzbewegung","Teletransporte","Téléportation rapide","瞬間移動","Мгновенное перемещение","Anlık Hareket","التحرك السريع","Bleskový pohyb","เคลื่อนที่อย่างรวดเร็ว","Gerakan Cepat","Flitssprong","Chuyển động Nhanh","순간 이동","瞬间移动","瞬間移動","Žaibiškas judėjimas","Миттєвий рух","Ātrs kustības","त्वरित गति","Αστραπιαία κίνηση","Movimento Rápido"
"Interact","Interact","Interagisci","Wchodź w interakcje","Interactuar","Interagiere","Interaja","Interagis","やり取りする","Взаимодействуй","Etkileşimde bulun","تفاعل","Interaguj","โต้ตอบ","Bertindak","Interactie","Tương tác","상호 작용하라","互动","互動","Sąveikauk","Взаємодій","Interaktē","बातचीत करें","Αλληλεπίδρασε","Interaja"
"LobbyDetails","Lobby Details","Dettagli della Lobby","Szczegóły Lobby","Detalles del Lobby","Lobby-Details","Detalhes do Lobby","Détails du Lobby","ロビーの詳細","Лобби Детали","Lobi Detayları","تفاصيل الردهة","Podrobnosti Lobby","รายละเอียดล็อบบี้","Rincian Lobi","Lobbygegevens","Chi Tiết Phòng Chờ","로비 세부사항","大厅详情","大廳詳情","Lobio Informacija","Лобі Деталі","Lobija Detaļas","लॉबी विवरण","Λεπτομέρειες Λόμπι","Detalhes do Lobby"
"Move","Move","Muoviti","Poruszanie","Muévete","Bewegen","Mover-se","Déplace-toi","動け","Перемещение","Hareket","تحرك","Pohyb","การเคลื่อนไหว","Bergerak","Bewegen","Di chuyển","이동","移动","移動","Judėti","Рухатися","Kustība","चाल","Κίνηση","Mover-se"
